"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"1","201029336711458","Visa","Wave your Visa payWave Card at Pizza Hut and get 20% discount* on your order.
Just wave to pay.

Ask your bank for your Visa payWave Card today!

To know more, visit: http://vi.sa/QSROffer

ICICI Bank  HDFC Bank  SBI Card  State Bank of India","2016-10-17T05:48:29+0000","photo","https://www.facebook.com/VisaIND/photos/a.210915585722833.1073741828.201029336711458/729079917239728/?type=3","201029336711458_729079917239728",114,2,4
"2","201029336711458","Visa","Zoom through at the petrol pump. Wave your Visa payWave Card at HPCL and get 20% cashback on your total bill.
Just wave to pay.
To know more, visit: http://vi.sa/HPCLOffer

Ask your bank for your Visa payWave Card today!

ICICI Bank  State Bank of India  SBI Card  HDFC Bank","2016-10-06T13:47:48+0000","photo","https://www.facebook.com/VisaIND/photos/a.210915585722833.1073741828.201029336711458/722967837850936/?type=3","201029336711458_722967837850936",111,0,7
"3","201029336711458","Visa","Wave your Visa payWave card at KFC and get a 10% off* on your order. Just wave to pay.
To know more, visit: http://vi.sa/QSROffer

Ask your bank for your Visa payWave card today!

ICICI Bank HDFC Bank  State_Bank_Of_India  SBI Card","2016-09-29T10:29:59+0000","photo","https://www.facebook.com/VisaIND/photos/a.210915585722833.1073741828.201029336711458/719280394886347/?type=3","201029336711458_719280394886347",47,1,2
"4","201029336711458","Visa","It<U+2019>s never too late for a latte. Wave your Visa payWave card at Costa Coffee and get 20% discount* on your order. Just wave to pay.
Ask your bank for your Visa payWave card today!

To know more, visit: http://vi.sa/QSROffer 

@ICICI Bank @HDFC Bank @State Bank of India","2016-09-23T13:08:01+0000","photo","https://www.facebook.com/VisaIND/photos/a.210915585722833.1073741828.201029336711458/716252418522478/?type=3","201029336711458_716252418522478",46,1,4
"5","201029336711458","Visa",NA,"2016-09-07T07:58:53+0000","photo","https://www.facebook.com/VisaIND/photos/a.201029560044769.1073741827.201029336711458/707635609384159/?type=3","201029336711458_707635639384156",66,3,0
"6","201029336711458","Visa",NA,"2016-08-26T10:47:21+0000","photo","https://www.facebook.com/VisaIND/photos/a.201029560044769.1073741827.201029336711458/701193573361696/?type=3","201029336711458_701193936694993",58,4,0
"7","201029336711458","Visa",NA,"2016-08-18T05:38:36+0000","photo","https://www.facebook.com/VisaIND/photos/a.201029560044769.1073741827.201029336711458/696922220455498/?type=3","201029336711458_696922520455468",54,1,1
"8","201029336711458","Visa",NA,"2016-08-08T10:37:46+0000","photo","https://www.facebook.com/VisaIND/photos/a.201029560044769.1073741827.201029336711458/691804534300600/?type=3","201029336711458_691837060964014",71,5,0
"9","201029336711458","Visa",NA,"2016-07-29T10:38:18+0000","photo","https://www.facebook.com/VisaIND/photos/a.201029560044769.1073741827.201029336711458/686840928130294/?type=3","201029336711458_686840961463624",51,6,0
"10","201029336711458","Visa","The faster way to pay is here. Just wave to pay.

Ask your bank for your Visa payWave Card today!

To know more, visit: http://vi.sa/Visapaywave","2016-07-01T10:19:38+0000","link","http://vi.sa/Visapaywave","201029336711458_673635676117486",65,10,9
"11","201029336711458","Visa","No matter what time of the year you visit Thailand, there<U+2019>s always something for everyone to take home for friends and family. Shop with your Visa card and enjoy special discounts and promotions*.

Book your tickets to Thailand today!

http://vi.sa/ThailandVisaOffer","2016-03-25T05:30:00+0000","photo","https://www.facebook.com/VisaIND/photos/a.210915585722833.1073741828.201029336711458/624716877676033/?type=3","201029336711458_624716877676033",2329,22,16
"12","201029336711458","Visa","Take a break from your normal routine and fill your days with wonder in Thailand. Visit Thailand with your Visa card and enjoy special discounts and promotions at famous attractions across the nation*.

Book your tickets to Thailand today!

http://vi.sa/ThailandVisaOffer","2016-03-24T05:30:00+0000","photo","https://www.facebook.com/VisaIND/photos/a.210915585722833.1073741828.201029336711458/624716497676071/?type=3","201029336711458_624716497676071",12510,34,57
"13","201029336711458","Visa","Shop and save! Shop for the first time on eBay India using your Visa Card and enjoy a 30% discount*.

Shop now: http://vi.sa/eBayVisa
 
ICICI Bank HDFC Bank State Bank of India Axis Bank Deutsche Bank Standard Chartered India IDFC Bank","2016-03-23T08:16:49+0000","photo","https://www.facebook.com/VisaIND/photos/a.210915585722833.1073741828.201029336711458/625318327615888/?type=3","201029336711458_625318327615888",87,9,5
"14","201029336711458","Visa","Now it<U+2019>s easier than ever to make your dream vacation come true. Book your accommodation with your Visa Card and enjoy a 10% discount* at more than 75 hotels across Thailand. 

Book your tickets to Thailand today!

http://vi.sa/ThailandVisaOffer","2016-03-22T11:56:24+0000","photo","https://www.facebook.com/VisaIND/photos/a.210915585722833.1073741828.201029336711458/624715587676162/?type=3","201029336711458_624715587676162",54627,120,648
