,from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count
1,1.68313E+14,American Express,"Be it gadgets, fashion or gift hampers, shop with your American Express Card and enjoy great offers at a host of partners featured below. T&Cs apply. #GoldDiwali",2016-10-21T14:59:04+0000,link,https://www.americanexpressindia.co.in/24KGoldDiwali,168312979854782_1291883664164369,68,2,1
2,1.68313E+14,American Express,"World-class cuisine for under <U+20AC>30 (<U+20B9>2,200)? Pinch yourself if you want, but you<U+2019>re not dreaming",2016-10-20T11:18:02+0000,link,http://www.amexessentials.com/worlds-most-affordable-michelin-restaurants/,168312979854782_1290826207603448,19,1,2
3,1.68313E+14,American Express,Shop for the latest apparels and accessories from Jabong and enjoy a special offer with your American Express Card.,2016-10-19T08:00:12+0000,link,http://www.jabong.com/all-products/online-sale/?cmpgp=amex19,168312979854782_1289788954373840,116,5,4
4,1.68313E+14,American Express,"Grow your career with us by joining our India team as a customer care professional! We're hiring analysts, collections specialists and more. Explore our opportunities today: amex.co/2dY6WfP",2016-10-17T09:05:56+0000,photo,https://www.facebook.com/AmericanExpressIndia/photos/a.168847633134650.39956.168312979854782/1287952344557501/?type=3,168312979854782_1287952344557501,47,1,4
5,1.68313E+14,American Express,"This festive season, purchase top global brands without any hassles and get them delivered to your doorstep with Amazon Global Store when you shop w/ your American Express Card.",2016-10-14T06:40:42+0000,link,http://www.amazon.in/,168312979854782_1284860528200016,113,5,6
6,1.68313E+14,American Express,"At American Express, we are committed to ensuring a great work-life balance for our employees, which is why we are proud to announce that we're in the top 20 of FlexJobs' Top 100 Companies For Remote Jobs!",2016-10-13T05:16:50+0000,link,http://www.forbes.com/sites/laurashin/2016/01/27/work-from-home-in-2016-the-top-100-companies-for-remote-jobs/#5deb619b36f0,168312979854782_1283635918322477,108,2,21
7,1.68313E+14,American Express,For example: indulge in a nice coffee machine instead of buying an expensive cappuccino at the coffee shop everyday.,2016-10-12T05:07:19+0000,link,https://www.amexessentials.com/money-saving-tips,168312979854782_1282715705081165,19,2,4
8,1.68313E+14,American Express,"Are you looking for opportunities in customer care? We're hiring for various positions, from relationship managers to analysts. Kick off your career and apply to join our India team today! http://amex.co/2dqn0nj",2016-10-10T12:30:35+0000,photo,https://www.facebook.com/AmericanExpressIndia/photos/a.168847633134650.39956.168312979854782/1281332008552868/?type=3,168312979854782_1281332008552868,79,8,14
9,1.68313E+14,American Express,NA,2016-10-08T12:26:12+0000,photo,https://www.facebook.com/AmericanExpressIndia/photos/a.373677479318330.94718.168312979854782/1279395815413154/?type=3,168312979854782_1279395928746476,74,0,8
10,1.68313E+14,American Express,Happy #CustomerServiceWeek to our customers and to the team of service professionals who are just a click or call away!,2016-10-06T13:32:23+0000,photo,https://www.facebook.com/AmericanExpressIndia/photos/a.168847633134650.39956.168312979854782/1277762498909819/?type=3,168312979854782_1277762498909819,102,9,12
11,1.68313E+14,American Express,"Enjoy a #24KGoldDiwali by shopping for trendy apparels, accessories, home decor and more at Myntra with your American Express Card.",2016-10-04T04:41:20+0000,link,http://www.myntra.com/,168312979854782_1274858815866854,131,1,8
12,1.68313E+14,American Express,NA,2016-09-30T09:00:20+0000,photo,https://www.facebook.com/AmericanExpressIndia/photos/a.373677479318330.94718.168312979854782/1271688939517175/?type=3,168312979854782_1271767386175997,41,3,2
13,1.68313E+14,American Express,"Looking for healthy and fuss-free options when it comes to weekday meals? We asked the experts #WorldHeartDay #AmexEssentials",2016-09-29T05:57:00+0000,link,https://www.amexessentials.com/flexible-food/,168312979854782_1270816659604403,20,1,2
14,1.68313E+14,American Express,The American Express #24KGoldDiwali has only one golden rule - you must start by registering your Card to convert all your purchases to Gold!,2016-09-28T11:42:30+0000,link,http://amex.co/2djLu4K,168312979854782_1270172179668851,136,10,13
15,1.68313E+14,American Express,Are you ready for a Golden Diwali?,2016-09-27T06:11:42+0000,video,https://www.facebook.com/AmericanExpressIndia/videos/1269177329768336/,168312979854782_1269177329768336,332,8,17
16,1.68313E+14,American Express,"From latest gadgets to electronics, fashion products to accessories, enjoy additional 10% discount on all your purchases at Snapdeal with your American Express Card!",2016-09-22T09:28:54+0000,link,https://www.snapdeal.com/,168312979854782_1264831280202941,22,6,0
17,1.68313E+14,American Express,NA,2016-09-20T05:23:12+0000,photo,https://www.facebook.com/ritzcarltonbangalore/photos/a.838893762911134.1073741834.349575685176280/838893809577796/?type=3,168312979854782_1263081727044563,37,6,0
18,1.68313E+14,American Express,Which movie are you looking forward to watch this weekend?,2016-09-16T09:03:54+0000,photo,https://www.facebook.com/AmericanExpressIndia/photos/a.168847633134650.39956.168312979854782/1259738147378921/?type=3,168312979854782_1259738147378921,35,9,0
19,1.68313E+14,American Express,"We ask chefs, bloggers and canning prodigies from around the world for their best, most unique preserving ideas, from spiced blueberries to pickled corn relish",2016-09-15T11:05:36+0000,link,https://www.amexessentials.com/canning-and-preserving-ideas,168312979854782_1258936340792435,28,1,1
20,1.68313E+14,American Express,Check out illustrator Jordy van den Nieuwendijk's commissioned interpretation of our Platinum Card.,2016-09-12T15:47:35+0000,photo,https://www.facebook.com/AmericanExpressIndia/photos/a.168847633134650.39956.168312979854782/1256616234357779/?type=3,168312979854782_1256616234357779,61,11,0
21,1.68313E+14,American Express,"American Express is delighted to bring to you the <U+2018>Open Doors Weekends<U+2019>, where thousands of new merchant partners have opened their doors to you. Continue to collect rewarding experiences wherever you go. Because, for us, you come first.The fourth Open Doors Weekend is on till Sunday, the 11th of Sept, 2016.",2016-09-09T13:50:46+0000,link,http://bit.ly/2bRKPsd,168312979854782_1253753294644073,1396,17,12
22,1.68313E+14,American Express,"We love hearing about our Cardmember's memorable, exciting and special moments. Tell us how an American Express benefit, service or Rewards has helped make your moments memorable, and we may feature your story. What's more, 3 lucky winners will get Taj Hotels vouchers, each worth 10,000 INR!Please post your responses in the comment section of this post and use #MemberMoments. You can support your story with a picture as well!Read the full T&Cs here: http://bit.ly/MemberMomentsTCs",2016-09-09T07:54:18+0000,photo,https://www.facebook.com/AmericanExpressIndia/photos/a.168847633134650.39956.168312979854782/1253557247997011/?type=3,168312979854782_1253557247997011,945,177,34
